,,DESCENDENCIA EJEMPLAR,,,,,,,
,REGISTRO:,193844,,,,,,,
,NOMBRE:,ONIX (FC),,,,,,,
REGISTRO,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE,
REGISTRO0,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE0
622450,JUDAS DE SIERRA LEONA,11/04/2010,CASTAÑO,MACHO,AVID*050*787*893,GD,P2,614970
623710,PERSEO DE SAN NORBERTO,22/08/2010,NARANJUELOMACHO,,AVID*071*816*083,GD,P3,607370
624150,TACONERA DE ANN ARBOR,15/02/2011,CASTAÑO,HEMBRA,AVID*079*614*876,GD,P2,1817060
624300,SANGRE DE JUDAS DE ANN ARBOR,03/05/2012,BAYO,MACHO,AVID*079*637*859,GD,P3,2022060
624320,REY DE REYES DE LA JAGUA (T.E.),29/02/2012,CASTAÑO,MACHO,AVID*076*879*808,GD,P3,1046540
624330,ESTRELLA DE DOS AGUAS,06/11/2011,CASTAÑO,HEMBRA,AVID*079*638*335,GD,P3,1764230
624740,PICA HIELO DE LOS ROBLES,17/12/2011,BAYO,MACHO,AVID*076*589*089,GD,P3,612410
624760,VANDIDA DE LA QUINTA,16/04/2012,CASTAÑO,HEMBRA,AVID*071*793*836,GD,P3,2073140
624830,EMBRUJO DE ANN ARBOR,27/07/2011,CASTAÑO,MACHO,AVID*076*563*264,GD,P3,2364240
624980,SUEÑO DE LIBERTAD DE VILLA MILENA,11/08/2012,CASTAÑO,MACHO,AVID*076*587*777,GD,P3,624170
624990,ADIOS A LAS ARMAS DE VILLA MILENA,08/10/2012,CASTAÑO,MACHO,AVID*076*563*321,GD,P3,624520
625170,ONIX DE QUISQUELLA,01/11/2012,CASTAÑO,MACHO,AVID*008*591*774,GD,P3,622430
625180,RAYO QUE NO CESA DE VILLA MILENA,02/08/2012,CASTAÑO,MACHO,AVID*076*619*080,GD,P3,624260
625490,ICONO DE LA TRADICION,28/08/2010,CASTAÑO,MACHO,AVID*009*779*029,GD,P3,616680
625940,REMEDIO LA BELLA DE LIBERTAD,23/01/2012,CASTAÑO,HEMBRA,AVID*005*885*364,GD,P3,620330
626430,OMNIA DEL SACRAMENTO,02/01/2013,MORO,HEMBRA,AVID*008*601*876,GD,P3,2240800
626990,IKARO DE LAS GARZAS,16/04/2012,CASTAÑO,MACHO,AVID*020*283*834,GD,P3,2204470
627470,NATALY DE LA SIERRA,19/11/2012,CASTAÑO,HEMBRA,AVID*076*591*513,GD,P3,2018840
627760,SENADOR,10/07/2011,CASTAÑO,MACHO,AVID*057*399*831,GN,P3,2301740
628410,MARISCAL DE ANN ARBOR,28/11/2012,CASTAÑO,MACHO,AVID*020*274*314,GD,P3,622360
628520,PASION DE ALTOMIRA,26/11/2012,CASTAÑO,MACHO,AVID*020*104*841,GD,P3,2232080
628820,BARBA NEGRA DE PALMA VERDE,29/07/2012,CASTAÑO,MACHO,AVID*020*088*076,GD,P3,619350
628910,PRETOR DE LA CHIQUITA,24/07/2014,CASTAÑO,MACHO,AVID*020*108*773,GD,P3,2167800
REGISTRO0,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE0
629270,GRAN CAPITAN DE VILLA MILENA,25/12/2013,CASTAÑO,MACHO,AVID*029*379*299,GD,P3,624700
629380,RAPSODIA BOHEMIA DE VILLA MILENA,18/01/2014,CASTAÑO,HEMBRA,AVID*029*360*113,GD,P3,624130
629470,REBELION DE VILLA MILENA,06/06/2014,CASTAÑO,HEMBRA,AVID*028*627*534,GD,P3,624220
629870,MAREA DE CAPRI,09/04/2014,CASTAÑO,HEMBRA,AVID*066*850*033,GD,P3,1842910
630040,BELLONA DE SAN RAFAEL,04/05/2014,CASTAÑO,HEMBRA,AVID*041*532*377,GD,P2,2900220
630160,DULCE BENDICION DE MONTERRICO,05/12/2012,ZAINO,MACHO,AVID*040*887*804,GD,P3,619370
630330,AGATHA DE SAMARKANDA,20/02/2014,MORO,HEMBRA,AVID*041*621*080,GD,P3,621620
630600,SILUETA DE VILLA HELENA,03/04/2013,CASTAÑO,HEMBRA,AVID*836*594*838,GD,P3,1838420
630790,SOMBRA DEL ENCANTO T.E,10/12/2013,CASTAÑO,HEMBRA,AVID*040*846*380,GD,P3,3009260
630850,PROMETEO DE MIRAFLORES DE LA SIERRA,23/01/2012,MORO,MACHO,AVID*839*027*115,GD,P2,2072410
630860,R.B TENTACULO DEL OASIS,04/03/2013,CASTAÑO,MACHO,AVID*839*020*772,GD,P3,2147960
630880,DESTINO DE LA ZONA,29/03/2015,BAYO,MACHO,AVID*836*592*010,GD,P3,2500840
631020,PERLA DE QUISQUELLA,11/07/2012,CASTAÑO,HEMBRA,AVID*010*079*028,GD,P1,612110
632070,SENTINELA DE LAS GARZAS,17/04/2013,CASTAÑO,HEMBRA,AVID*840*045*283,GD,P2,2282330
632170,AMBARINO DE SAMARKANDA,12/01/2016,CASTAÑO,MACHO,AVID*842*012*073,GD,P3,621620
632200,MILAGROSA DEL JARDIN,17/02/2016,NARANJUELOHEMBRA,,AVID*842*000*825,GD,P3,828610
632240,GINEBRA DE MARIA CAMILA,05/12/2016,CASTAÑO,HEMBRA,AVID*842*021*885,GD,P3,886950
632250,MORANTE DEL PARAISO,03/09/2016,CASTAÑO,MACHO,AVID*842*026*524,GD,P3,2943270
632330,PROMETIDO DE LA MILAGROSA,04/06/2014,MORO,MACHO,AVID*841*894*799,GD,P1,2510000
632460,A.P OLIMPIA DE LA CHIQUITA,18/05/2015,CASTAÑO,HEMBRA,AVID*040*861*056,GD,P3,2167750
632620,VANIDOSA DE LA TRADICION,29/09/2014,CASTAÑO,HEMBRA,AVID*845*043*267,GD,P3,2917190
632630,DESQUITE DE LA ESMERALDA,20/09/2017,CASTAÑO,MACHO,AVID*845*030*090,GD,P3,2771630
632690,DOBLE SILUETA DE 2 M.,08/04/2015,CASTAÑO,HEMBRA,AVID*845*042*854,GD,P2,2914530
